Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Estimates Start After,
Luxembourg,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2024,60.135,62.300,63.670,64.880,65.630,66.530,67.177,67.863,70.429,72.123,73.605,75.466,77.914,80.844,83.239,85.449,88.946,88.953,91.439,94.848,97.588,99.246,99.934,99.993,100.037,102.149,104.211,2023,
Malta,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office. Eurostat Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2024,55.457,57.693,60.075,62.462,63.688,66.184,68.615,70.189,72.316,74.137,76.083,77.558,79.668,81.683,83.782,84.379,88.325,89.947,91.774,94.083,97.118,98.080,98.842,99.996,100.893,102.166,103.938,2023,
Netherlands,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2024,64.498,65.558,66.948,67.850,68.832,70.109,71.359,72.813,74.523,78.333,81.350,83.162,84.312,85.568,86.983,88.363,90.319,91.197,92.044,94.319,96.977,99.455,99.773,99.992,100.106,101.400,103.022,2023,
Portugal,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2024,56.215,59.549,62.509,64.990,66.898,68.163,69.673,71.184,73.181,76.408,79.236,81.801,83.854,85.640,88.248,90.386,92.783,91.945,93.224,96.538,99.218,99.654,99.495,100.000,100.636,102.202,103.395,2023,
Slovak Republic,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office. Eurostat & Haver Analytics Latest actual data: 2023 Harmonized prices: Yes. 2015=100 Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2024,n/a,33.278,37.758,41.497,43.896,46.544,49.658,54.853,61.524,65.919,68.219,73.961,79.472,81.680,85.164,86.783,90.210,91.055,91.692,95.425,98.985,100.429,100.336,100.005,99.532,100.918,103.473,2023,
Slovenia,"Inflation, average consumer prices",Index,Units,"Source: National Statistics Office. CPI has been the official measure of price inflation since Jan. 1, 1998, earlier it was the Retail Price Index (RPI). Latest actual data: 2023 Harmonized prices: No Base year: 2015 Primary domestic currency: Euro Data last updated: 10/2024",23.333,30.783,37.208,42.258,46.450,50.325,54.325,57.650,62.801,68.063,73.155,77.211,79.985,81.946,83.960,87.031,91.946,92.718,94.388,96.089,98.585,100.329,100.529,100.001,99.946,101.374,103.137,2023,
Spain,"Inflation, average consumer prices",Index,Units,Source: Statistical Office of the European Union (Eurostat) Latest actual data: 2023 Notes: Non-seasonally adjusted series. Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 10/2024,54.678,57.176,59.874,62.672,64.928,66.146,67.313,68.817,71.215,73.227,75.856,78.210,80.598,83.326,86.293,88.747,92.413,92.192,94.075,96.944,99.306,100.825,100.633,100.000,99.663,101.693,103.458,2023,
France,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 10/2024,69.395,70.945,72.128,73.403,74.930,75.879,76.393,76.832,78.226,79.622,81.165,82.926,84.863,86.465,88.102,89.518,92.347,92.440,94.047,96.198,98.329,99.303,99.912,99.998,100.304,101.473,103.604,2023,
Germany,"Inflation, average consumer prices",Index,Units,"Source: National Statistics Office Latest actual data: 2023 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 10/2024",68.496,71.562,73.507,74.780,75.733,76.875,77.333,77.833,78.933,80.433,81.500,82.375,83.842,85.458,86.975,88.950,91.400,91.625,92.650,94.950,97.000,98.558,99.317,99.992,100.358,102.067,104.042,2023,
Italy,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 10/2024,57.417,60.000,62.500,65.867,68.492,69.758,71.175,72.350,74.217,75.942,77.925,80.117,81.925,83.733,85.600,87.333,90.383,91.075,92.550,95.267,98.425,99.650,99.883,99.992,99.942,101.267,102.525,2023,
Japan,"Inflation, average consumer prices",Index,Units,Source: Ministry of Internal Affairs and Communications Latest actual data: 2023 Notes: The CPI basket was constructed by averaging 2019 and 2020 weights. Harmonized prices: No Base year: 2020 Primary domestic currency: Japanese yen Data last updated: 09/2024,94.151,95.333,95.990,95.906,96.038,97.669,98.306,97.966,97.293,96.618,95.751,95.500,95.490,95.215,95.458,95.503,96.823,95.534,94.825,94.562,94.516,94.829,97.444,98.223,98.101,98.578,99.553,2023,
United Kingdom,"Inflation, average consumer prices",Index,Units,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2023. Our PCPIE (end-period CPI data) is for December each year; latest data is 2023Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 10/2024",62.602,64.188,65.467,67.189,68.819,70.074,71.166,72.111,72.685,73.582,74.508,75.523,76.538,78.112,79.931,81.788,84.733,86.568,89.423,93.415,96.057,98.521,99.960,100.000,100.660,103.361,105.922,2023,
United States,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 10/2024,140.308,144.475,148.225,152.383,156.858,160.525,163.008,166.583,172.192,177.042,179.867,184.000,188.908,195.267,201.558,207.344,215.254,214.565,218.076,224.923,229.586,232.952,236.715,237.002,240.005,245.121,251.100,2023,
China,"Inflation, average consumer prices",Index,Units,"Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2023 Harmonized prices: No Base year: 2015. CPI is calculated from authorities' series reported on a PY=100 basis, with weights in the basket adjusted regularly. Primary domestic currency: Chinese yuan Data last updated: 09/2024",38.788,44.460,55.247,64.513,69.870,71.811,71.250,70.252,70.496,71.007,70.461,71.281,74.057,75.397,76.503,80.154,84.838,84.251,87.056,91.772,94.176,96.650,98.578,100.000,101.996,103.606,105.774,2023,
Mexico,"Inflation, average consumer prices",Index,Units,"Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2018. Note: 100 = July 16-31, 2018. Thus looking at monthly data there will be no period equal to 100. Primary domestic currency: Mexican peso Data last updated: 09/2024",12.223,13.417,14.354,19.387,26.046,31.411,36.410,42.442,46.468,49.426,51.916,54.278,56.826,59.094,61.241,63.672,66.938,70.483,73.411,75.910,79.031,82.037,85.335,87.655,90.127,95.573,100.254,2023,
